issue_d,int_rate
201401,0.2386
201402,0.2352
201403,0.2341
201404,0.2273
201405,0.2261
201406,0.2309
201407,0.2342
201408,0.2348
201409,0.234
201410,0.2314
201411,0.2329
201412,0.2457
201501,0.2544
201502,0.2584
201503,0.2683
201504,0.2758
201505,0.2798
201506,0.2827
201507,0.2907
201508,0.3212
201509,0.3311
201510,0.3214
201511,0.371
201512,0.5393
201601,0.6196
201602,0.6227
201603,0.6317
201604,0.6328
201605,0.6457
201606,0.6516
201607,0.6963
201608,0.8112
201609,0.8497
201610,0.8787
201611,0.9085
201612,0.9773
201701,1.0244
201702,1.0446
201703,1.1347
201704,1.159
201705,1.186
201706,1.2624
201707,1.3075
201708,1.3143
201709,1.3233
201710,1.3608
201711,1.4342
201712,1.6098
201801,1.7322
201802,1.8747
201803,2.1796
201804,2.3476
201805,2.3363
201806,2.3303
201807,2.3391
201808,2.3233
201809,2.3494
201810,2.4606
201811,2.6492
201812,2.7902
